crop_id,cost_type,cost_category,cost_item,amount_eur,frequency,notes
kiwifruit_gr,CAPEX,Land & Legal,Land title/legal due diligence,3153.11,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 3. One-time legal/cadastral due diligence for agricultural land acquisition.
kiwifruit_gr,CAPEX,Land & Legal,Land use / zoning verification,1313.79,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 4. One-time Natura/protected-area, forest-map and zoning screening before high-value orchard development."
kiwifruit_gr,CAPEX,Water Licensing,Water drilling permit,2627.59,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 5. One-time/conditional hydrogeological documentation and borehole licensing; kiwi has high water sensitivity.
kiwifruit_gr,CAPEX,Water Licensing,Water usage license,1051.04,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 6. One-time/periodic legal groundwater abstraction rights.
kiwifruit_gr,CAPEX,Infrastructure,Drip / micro-sprinkler irrigation installation,52551.79,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 7. Main irrigation network; estimate isolates irrigation from trellis.
kiwifruit_gr,CAPEX,Infrastructure,Trellis / pergola support system,131379.48,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 8. Essential kiwi support structure: posts, wires and pergola/T-bar system."
kiwifruit_gr,CAPEX,Infrastructure,Water tanks / reservoirs,36786.26,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 9. Storage infrastructure for irrigation reliability.
kiwifruit_gr,CAPEX,Infrastructure,Pump stations,15765.54,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 10. Pumps, filters, fertigation and pressure-control systems."
kiwifruit_gr,CAPEX,Infrastructure,Electricity connection,10510.36,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 11. Grid connection for pumps/equipment.
kiwifruit_gr,CAPEX,Infrastructure,Road access improvements,13137.95,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 12. Access for machinery, picking crews and refrigerated fruit transport."
kiwifruit_gr,CAPEX,Planting,Certified kiwi vines,57806.97,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 13. Approved phytosanitary planting material.
kiwifruit_gr,CAPEX,Planting,Initial planting labor,21020.72,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 14. Layout, planting, tying/training to trellis and establishment labor."
kiwifruit_gr,CAPEX,Regulatory,Business registration,525.52,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 15. Agricultural business setup.
