crop_id,year_number,calendar_year,yield_ramp_up_percent,yield_ramp_up_factor
olives,1,2026,0%,0
olives,2,2027,0%,0
olives,3,2028,0%,0
olives,4,2029,5%,0.05
olives,5,2030,15%,0.15
olives,6,2031,30%,0.3
olives,7,2032,50%,0.5
olives,8,2033,70%,0.7
olives,9,2034,85%,0.85
olives,10,2035,100%,1
olives,11,2036,100%,1
olives,12,2037,100%,1
olives,13,2038,100%,1
olives,14,2039,100%,1
olives,15,2040,100%,1
olives,16,2041,100%,1
olives,17,2042,100%,1
olives,18,2043,100%,1
olives,19,2044,100%,1
olives,20,2045,100%,1
