crop_id,year_number,calendar_year,yield_ramp_up_percent,yield_ramp_up_factor
pistachio,1,2026,0%,0
pistachio,2,2027,0%,0
pistachio,3,2028,0%,0
pistachio,4,2029,5%,0.05
pistachio,5,2030,15%,0.15
pistachio,6,2031,30%,0.3
pistachio,7,2032,50%,0.5
pistachio,8,2033,70%,0.7
pistachio,9,2034,90%,0.9
pistachio,10,2035,100%,1
pistachio,11,2036,100%,1
pistachio,12,2037,100%,1
pistachio,13,2038,100%,1
pistachio,14,2039,100%,1
pistachio,15,2040,100%,1
pistachio,16,2041,100%,1
pistachio,17,2042,100%,1
pistachio,18,2043,100%,1
pistachio,19,2044,100%,1
pistachio,20,2045,100%,1
