crop_id,cost_type,cost_category,cost_item,amount_eur,frequency,notes
pistachio,CAPEX,Land & Legal,Land title/legal due diligence,4227.98,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 3. Typical Greek legal due diligence costs for agricultural acquisitions including lawyer, notary, cadastral and encumbrance checks. Based on Greek property transaction fee structures and legal market rates. Hellenic Cadastre"
pistachio,CAPEX,Land & Legal,Land use / zoning verification,1761.66,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 4. Includes Natura, forest and zoning verification through GIS/spatial planning checks. Natura framework based on EU Natura 2000 network. European Commission Natura 2000"
pistachio,CAPEX,Water Licensing,Water drilling permit,3523.32,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 5. Hydrogeological studies and drilling permit procedures for boreholes in Greece. Gaia Drill – Borehole Licensing
pistachio,CAPEX,Water Licensing,Water usage license,1409.33,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 6. Water extraction rights and groundwater abstraction licensing under Greek implementation of EU Water Framework Directive. EU Water Framework Directive
pistachio,CAPEX,Infrastructure,Drip irrigation installation,61658.03,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 7. Estimated using ~25 ha × ~€3.500/ha average commercial drip irrigation installation cost for pistachio orchards. Agrovivero – Pistachio Irrigation Costs
pistachio,CAPEX,Infrastructure,Water tanks / reservoirs,28186.53,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 8. Commercial irrigation storage infrastructure estimates based on Mediterranean orchard irrigation projects and drought buffering requirements. Irritec – Pistachio Irrigation
pistachio,CAPEX,Infrastructure,Pump stations,17616.58,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 9. Includes filtration, fertigation and pumping systems for ~25 ha orchards. Industry commercial irrigation equipment estimates. Netafim Irrigation Solutions"
pistachio,CAPEX,Infrastructure,Electricity connection,12331.61,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 10. Typical medium-scale agricultural grid connection costs depending on distance from network and pump requirements. Greek DSO pricing structures apply. HEDNO (DEDDIE) Connections
pistachio,CAPEX,Infrastructure,Road access improvements,17616.58,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 11. Rural road grading and machinery access preparation estimates based on agricultural infrastructure projects in Greece. Greek Ministry of Rural Development
pistachio,CAPEX,Planting,Certified pistachio saplings,29595.85,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 12. Based on ~200–240 trees/ha for 25 ha including certified rootstocks and pollinator trees. Agrovivero – Pistachio Orchard Establishment
