crop_id,cost_type,cost_category,cost_item,amount_eur,frequency,notes
olives,CAPEX,Land & Legal,Land title/legal due diligence,4680.85,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 3. One-time legal/cadastral due diligence for agricultural land acquisition.
olives,CAPEX,Land & Legal,Land use / zoning verification,1950.35,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 4. Natura/protected-area, forest-map and zoning screening before planting."
olives,CAPEX,Water Licensing,Water drilling permit,3900.71,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 5. One-time/conditional hydrogeological documentation and borehole licensing.
olives,CAPEX,Water Licensing,Water usage license,1560.28,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 6. One-time/periodic legal abstraction rights under Greek water-permit process.
olives,CAPEX,Infrastructure,Drip irrigation installation,48758.87,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 7. Main irrigation network.
olives,CAPEX,Infrastructure,Water tanks / reservoirs,23404.26,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 8. One-time/conditional buffer storage for irrigation reliability.
olives,CAPEX,Infrastructure,Pump stations,15602.84,one_time,"REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 9. Pumps, filters and fertigation head for 25 ha drip system."
olives,CAPEX,Infrastructure,Electricity connection,13652.48,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 10. Grid connection for pumps/equipment.
olives,CAPEX,Infrastructure,Road access improvements,15602.84,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 11. Machinery and logistics access.
olives,CAPEX,Planting,Certified olive saplings,23404.26,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 12. Certified planting material.
olives,CAPEX,Planting,Initial planting labor,9361.7,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 13. Tree planting workforce.
olives,CAPEX,Regulatory,Business registration,780.14,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 14. Agricultural business setup.
olives,CAPEX,Regulatory,Environmental studies,5460.99,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 15. Conditional environmental assessments.
olives,CAPEX,Compliance,GLOBALG.A.P. setup,5460.99,one_time,REVISED DEMO-CALIBRATED: amount scaled to match corrected crop_economics_inputs.csv. Directly read from row 16. Initial certification implementation.
