crop_id,year_number,calendar_year,yield_ramp_up_percent,yield_ramp_up_factor
pharmaceutical_cannabis_gr,1,2026,50%,0.50
pharmaceutical_cannabis_gr,2,2027,100%,1.00
pharmaceutical_cannabis_gr,3,2028,100%,1.00
pharmaceutical_cannabis_gr,4,2029,100%,1.00
pharmaceutical_cannabis_gr,5,2030,100%,1.00
pharmaceutical_cannabis_gr,6,2031,100%,1.00
pharmaceutical_cannabis_gr,7,2032,100%,1.00
pharmaceutical_cannabis_gr,8,2033,100%,1.00
pharmaceutical_cannabis_gr,9,2034,100%,1.00
pharmaceutical_cannabis_gr,10,2035,100%,1.00
