crop_id,year_number,calendar_year,yield_ramp_up_percent,yield_ramp_up_factor
kiwifruit_gr,1,2026,0%,0.00
kiwifruit_gr,2,2027,0%,0.00
kiwifruit_gr,3,2028,25%,0.25
kiwifruit_gr,4,2029,50%,0.50
kiwifruit_gr,5,2030,80%,0.80
kiwifruit_gr,6,2031,100%,1.00
kiwifruit_gr,7,2032,100%,1.00
kiwifruit_gr,8,2033,100%,1.00
kiwifruit_gr,9,2034,100%,1.00
kiwifruit_gr,10,2035,100%,1.00
kiwifruit_gr,11,2036,100%,1.00
kiwifruit_gr,12,2037,100%,1.00
kiwifruit_gr,13,2038,100%,1.00
kiwifruit_gr,14,2039,100%,1.00
kiwifruit_gr,15,2040,100%,1.00
kiwifruit_gr,16,2041,100%,1.00
kiwifruit_gr,17,2042,100%,1.00
kiwifruit_gr,18,2043,100%,1.00
kiwifruit_gr,19,2044,100%,1.00
kiwifruit_gr,20,2045,100%,1.00
